phi,h0,Ma0,T_mix,T_at_tau,T_ad,T_check_ok,NOx_ppm,NO_ppm,NO2_ppm,tau_res_ms,t1_us,EI_NOx,EI_H2O,mdot_fuel_gs,MW_mix,Ma_COMB,Da,eta_exit,converged,error
0.4,30000,3.0,559.1647376300183,559.1647376300183,1645.3919119056766,False,4.879949501872653e-25,4.879949501872653e-25,9.91620215611706e-44,2.855867708017722,0.285586770801772,1.294781327852071e-25,7.68631087852647e-16,512.9252804813689,24.989827338129494,0.19518598406409385,1.0,1.0,True,
0.4,30000,3.5,682.3777567292811,682.3777567292592,1749.3597261912678,False,2.336058805935447e-16,2.336058805935371e-16,7.613841043705466e-30,4.635301906008413,0.4635301906008413,6.198189799971104e-17,2.330929661871713e-10,598.4128272281453,24.98982733814685,0.1305125244068027,1.0,1.0,True,
0.4,30000,4.0,819.9352012017262,819.9352193192076,1865.8671097816823,False,5.6015408197979486e-08,5.6015407910756046e-08,2.8722343771373904e-16,7.0048635703012385,27874.018320488543,1.4862375702924755e-08,0.0002544923801304258,683.9003739756038,24.989848596738238,0.08919267338184125,0.0,1.0,True,
0.4,30000,4.5,970.9613310289088,2014.0833937579712,1994.159791857799,True,15.390713003539538,15.388349530061337,0.002363473478202937,10.03845739215524,1018.990726402477,3.789905645099191,14929.6427305048,769.3879207224228,26.92617706715437,0.06303412392030903,0.49188892018714836,1.0,True,
0.4,30000,5.0,1135.3382892984346,2164.801490610754,2132.8322811302232,True,49.08441002210079,49.08293430329247,0.0014757188083213053,13.708003856563625,20.538182651648988,12.086855126206926,14933.657000673214,854.8754674691708,26.9261718948986,0.05,1.0,1.0,True,
0.4,30000,5.5,1312.7601566533576,2329.0741199474664,2279.9413820325444,True,162.6119374416151,162.61050746306054,0.001429978554572387,17.839635488186268,4.088519433437127,40.04338462458797,14934.25155380183,940.3630142159329,26.925637894731313,0.05,1.0,1.0,True,
0.4,32000,2.75,507.3668797864333,507.3668797864333,1601.6058728931137,False,1.2375199107682545e-29,1.2375199107682545e-29,4.8750469919677216e-51,2.125504824871829,0.21255048248718306,3.28347183242851e-30,7.389718919560933e-19,346.7427505533678,24.989827338129494,0.2395642157051583,1.0,1.0,True,
0.4,32000,3.0,563.8001704849427,563.8001704849427,1649.1438324356639,False,2.6983757349530335e-24,2.6983757349530335e-24,1.5334140325583266e-42,2.8631317011405533,0.2863131701140554,7.159513670796028e-25,1.317602593899884e-15,378.2648187854605,24.989827338129494,0.1950749072413092,1.0,1.0,True,
0.4,32000,3.5,687.9812657047966,687.9812657047825,1753.8211622645067,False,1.56018692679992e-16,1.5601869267998765e-16,4.369316763784356e-30,4.644712635248997,0.46447126352490015,4.139593862605272e-17,3.7112894700790064e-10,441.30895524964586,24.989827338147755,0.13038417831808669,1.0,1.0,True,
0.4,32000,4.0,826.584253793915,826.584276791932,1871.02460917592,False,5.629473801682656e-08,5.6294737668487886e-08,3.483386737678803e-16,7.019024003903742,29586.196261158886,1.4936259723499576e-08,0.0003225223282003477,504.3530917141794,24.990232740474553,0.08906006587603194,0.0,1.0,True,
