range_m,range_km,altitude_m,altitude_km,mach,segment
9183467.36777581,9183.467367775811,22165.80749947038,22.16580749947038,3.2692661450919887,descent
9191742.37253098,9191.74237253098,21797.1894640209,21.7971894640209,3.226481038426572,descent
9199907.77457416,9199.90777457416,21420.097450745,21.420097450745,3.1837045298300146,descent
9207963.57390535,9207.96357390535,21034.53145964268,21.03453145964268,3.1409369705943573,descent
9215909.77052455,9215.90977052455,20640.491490713932,20.64049149071393,3.098178731333156,descent
9223746.364431763,9223.746364431763,20237.97754395876,20.23797754395876,3.055430203322628,descent
9231473.355626987,9231.473355626988,19826.989619377164,19.826989619377162,3.012691799955572,descent
9239090.744110221,9239.09074411022,19407.52771696914,19.40752771696914,2.969963958319241,descent
9246598.529881466,9246.598529881467,18979.591836734693,18.97959183673469,2.927247140909597,descent
9253996.712940723,9253.996712940723,18543.181978673823,18.54318197867382,2.8845418374958407,descent
9261285.29328799,9261.28529328799,18098.298142786523,18.098298142786522,2.8418485671507403,descent
9268464.270923268,9268.464270923268,17644.9403290728,17.6449403290728,2.7991678804641054,descent
9275533.645846559,9275.533645846559,17183.10853753266,17.183108537532657,2.756500361958887,descent
9282493.418057859,9282.493418057858,16712.80276816609,16.71280276816609,2.7138466327317383,descent
9289343.587557172,9289.343587557172,16234.023020973094,16.234023020973094,2.6712073533426186,descent
9296084.154344494,9296.084154344493,15746.769295953674,15.746769295953674,2.62858322698109,descent
9302715.118419826,9302.715118419826,15251.04159310783,15.25104159310783,2.5859750029405393,descent
9309236.479783172,9309.236479783172,14748.958406892165,14.748958406892164,2.543125193563079,descent
9315648.238434527,9315.648238434527,14253.23070404632,14.25323070404632,2.5000213767230273,descent
9321950.394373894,9321.950394373895,13765.976979026902,13.765976979026902,2.4569175598829758,descent
9328142.947601272,9328.142947601273,13287.197231833907,13.287197231833908,2.413813743042923,descent
9334225.898116661,9334.225898116661,12816.891462467338,12.816891462467337,2.370709926202871,descent
9340199.245920058,9340.19924592006,12355.059670927192,12.355059670927192,2.3276061093628186,descent
9346062.99101147,9346.062991011471,11901.70185721347,11.90170185721347,2.2845022925227667,descent
9351817.133390892,9351.817133390892,11456.818021326177,11.456818021326177,2.2413984756827143,descent
9357461.673058325,9357.461673058326,11020.408163265303,11.020408163265303,2.198294658842662,descent
9362996.610013768,9362.996610013768,10592.47228303086,10.59247228303086,2.1421349309394775,descent
9368421.944257222,9368.421944257223,10173.010380622836,10.173010380622836,2.086362618962424,descent
9373737.67578869,9373.737675788689,9762.022456041239,9.762022456041239,2.0315981875193887,descent
9378943.804608164,9378.943804608165,9359.508509286068,9.359508509286067,1.9777919751097597,descent
9384040.330715653,9384.040330715652,8965.468540357313,8.965468540357312,1.9248972460559501,descent
9389027.254111152,9389.027254111152,8579.902549254992,8.579902549254992,1.8728699585435016,descent
9393904.574794663,9393.904574794664,8202.810535979093,8.202810535979093,1.8216685543661884,descent
9398672.292766182,9398.672292766181,7834.192500529618,7.834192500529618,1.7712537679923532,descent
9403330.408025714,9403.330408025713,7474.048442906569,7.474048442906569,1.7215884528651435,descent
9407878.920573257,9407.878920573257,7122.378363109943,7.122378363109943,1.6726374231045722,descent
9412317.830408812,9412.317830408812,6779.182261139744,6.779182261139744,1.6243673089997273,descent
9416647.137532376,9416.647137532376,6444.460136995971,6.444460136995971,1.5767464248701557,descent
9420866.841943951,9420.866841943951,6118.211990678621,6.118211990678621,1.5297446480409227,descent
9424976.94364354,9424.97694364354,5800.437822187698,5.800437822187698,1.4833333078197177,descent
9428977.442631137,9428.977442631136,5491.137631523197,5.4911376315231974,1.437485083489782,descent
9432868.338906746,9432.868338906746,5190.311418685116,5.190311418685116,1.3921739104419486,descent
9436649.632470366,9436.649632470366,4897.959183673465,4.897959183673465,1.3473748936649426,descent
9440321.323321998,9440.321323321998,4614.080926488241,4.614080926488241,1.3030642278971671,descent
9443883.411461638,9443.883411461638,4338.676647129436,4.338676647129436,1.2592191238170654,descent
9447335.896889292,9447.335896889292,4071.7463455970537,4.071746345597054,1.215817739714183,descent
