gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,19300.0,0.9695553808964877,238.7820478814904
5,25000.0,19400.0,0.968403050691653,239.39985498881862
5,25000.0,19500.0,0.9672523086676309,240.01607185114997
5,25000.0,19600.0,0.9661031523343373,240.63071068557605
5,25000.0,19700.0,0.9649555792060732,241.2437835535548
5,25000.0,19800.0,0.9638095868014984,241.85530236367245
5,25000.0,19900.0,0.9626651726436369,242.465278874342
5,25000.0,20000.0,0.9615223342598624,243.07372469644147
5,25000.0,20100.0,0.9603810691818917,243.6806512958927
5,25000.0,20200.0,0.9592413749457706,244.2860699961818
5,25000.0,20300.0,0.958103249091879,244.88999198082482
5,25000.0,20400.0,0.956966689164905,245.4924282957775
5,25000.0,20500.0,0.9558316927138504,246.0933898517928
5,25000.0,20600.0,0.9546982572920154,246.69288742672632
5,25000.0,20700.0,0.9535663804569939,247.29093166779185
5,25000.0,20800.0,0.9524360597706583,247.8875330937671
5,25000.0,20900.0,0.9513072927991642,248.482702097153
5,25000.0,21000.0,0.9501800771129258,249.07644894628538
5,25000.0,21100.0,0.949054410286621,249.66878378740205
5,25000.0,21200.0,0.9479302898991765,250.25971664666594
5,25000.0,21300.0,0.9468077135337625,250.84925743214495
5,25000.0,21400.0,0.9456866787777788,251.43741593575032
5,25000.0,21500.0,0.9445671832228552,252.02420183513433
5,25000.0,21600.0,0.9434492244648371,252.60962469554786
5,25000.0,21700.0,0.9423328001037795,253.19369397165988
5,25000.0,21800.0,0.9412179077439382,253.77641900933895
5,25000.0,21900.0,0.9401045449937632,254.35780904739798
5,25000.0,22000.0,0.9389927094658856,254.9378732193033
5,25000.0,22100.0,0.9378823987771171,255.5166205548488
5,25000.0,22200.0,0.9367736105484362,256.09405998179574
5,25000.0,22300.0,0.9356663424049837,256.6702003274798
5,25000.0,22400.0,0.9345605919760487,257.2450503203853
5,25000.0,22500.0,0.9334563568950685,257.8186185916887
5,25000.0,22600.0,0.9323536347996155,258.3909136767693
5,25000.0,22700.0,0.9312524233313908,258.9619440166926
5,25000.0,22800.0,0.9301527201362167,259.53171795966216
5,25000.0,22900.0,0.9290545228640242,260.1002437624437
5,25000.0,23000.0,0.9279578291688527,260.6675295917611
5,25000.0,23100.0,0.9268626367088365,261.2335835256651
5,25000.0,23200.0,0.9257689431462001,261.7984135548756
5,25000.0,23300.0,0.9246767461472432,262.36202758409735
5,25000.0,23400.0,0.9235860433823472,262.92443343331115
5,25000.0,23500.0,0.92249683252595,263.4856388390393
5,25000.0,23600.0,0.9214091112565511,264.0456514555877
