mach,altitude_m,rho,T_K,V_m_s,q_Pa,CL,CD,CD_f,CD_wave,CD_induced,alpha_deg,drag_kN,accel_kN,thrust_req_kN,L_over_D,aero_regime,mode,transition_mach,T_available_kN,T_required_with_margin_kN,thrust_margin_kN,thrust_deficit_kN
1.7242424242424244,7142.960252331825,0.5799531319436736,241.7207583598431,537.400534455441,83745.0392538315,0.030122040076015797,0.019052503666727783,0.005553117517095705,0.01349938614963208,0.0,10.892686727422012,558.4434336088603,132.435,690.8784336088604,1.5810016679655192,supersonic,turbojet,2.75,923.9821170601338,690.8784336088604,233.10368345127335,0.0
1.8666666666666667,7144.07562913914,0.5798791054075827,241.71350841059558,581.7816603731578,98135.81151017506,0.025704902112210888,0.01680960263793488,0.005495417033033876,0.011314185604901002,0.0,10.26163863000052,577.3683986130616,132.435,709.8033986130615,1.5291796401065212,supersonic,turbojet,2.75,975.707510761038,709.8033986130615,265.90411214797643,0.0
2.009090909090909,7148.45840245305,0.5795882947676492,241.68502038405515,626.133944588083,113611.97457926531,0.022203393946044567,0.015047490651727394,0.0054414751544514086,0.009606015497275985,0.0,9.70771742639243,598.3512938920247,132.435,730.7862938920248,1.4755545931172054,supersonic,turbojet,2.75,1023.6297317462461,730.7862938920248,292.8434378542213,0.0
2.1515151515151514,7725.996395887616,0.5422317757083815,237.93102342673046,665.2926701044,119999.77892418478,0.021021467299245408,0.014453937326954581,0.005430631915834121,0.009023305411120461,0.0,9.495829752794341,607.0642493365002,132.435,739.4992493365002,1.4543765358691088,supersonic,turbojet,2.75,939.9079878426637,739.4992493365002,200.40873850616356,0.0
2.293939393939394,9140.416009579341,0.45850972881569413,228.73729593773425,695.4937385080673,110893.22358488783,0.022747750917714294,0.01528828305382806,0.005478258236155226,0.009810024817672834,0.0,9.740550236089582,593.3784468210224,132.435,725.8134468210225,1.4879205753597324,supersonic,turbojet,2.75,769.3074527617373,725.8134468210225,43.49400594071483,0.0
2.436363636363636,11133.845860988593,0.3563154537008318,216.64999999999998,718.8929903558733,92073.18378287715,0.02739746063870283,0.01748569335939739,0.005557974033611087,0.011927719325786304,0.0,10.3305863570979,563.4872103877907,132.435,695.9222103877906,1.5668501142952118,supersonic,turbojet,2.75,744.494505611827,695.9222103877906,48.57229522403634,0.0
2.5787878787878786,13448.414567575757,0.2473568106008045,216.64999999999998,760.9178293443385,71609.29490738646,0.03522687148133372,0.02096581238420785,0.005664347337715631,0.015301465046492218,0.0,11.037069868550171,525.4714646977864,132.435,657.9064646977864,1.6802054142136547,supersonic,turbojet,2.75,868.7731425715514,657.9064646977864,210.86667787376496,0.0
2.721212121212121,15826.25074680119,0.17001227572433197,216.64999999999998,802.9426683328038,54804.89611714326,0.046028212938850094,0.02468368909480031,0.005598244410265778,0.019085444684534533,0.0,11.390420967998,473.47545581993757,132.435,605.9104558199376,1.8647217910610479,supersonic,turbojet,2.75,938.0153036810882,605.9104558199376,332.1048478611506,0.0
2.8636363636363633,18009.48301612527,0.12049358654186747,216.64999999999998,844.967507321269,43014.408319195296,0.058644801291983,0.026172836024001153,0.005145473734355574,0.02102736228964558,0.0,10.724865687159744,394.0331694627053,132.435,526.4681694627053,2.240674309738701,supersonic,ramjet,2.75,661.3797976253386,526.4681694627053,134.9116281626333,0.0
3.006060606060606,19740.964044472024,0.0917033682490397,216.64999999999998,886.9923463097342,36074.06111169039,0.0699275698613802,0.02277153228837802,0.004230341789711752,0.018541190498666267,0.0,8.761433939129702,287.51157658222286,132.435,419.94657658222286,3.070832870437505,hypersonic,ramjet,2.75,631.7805442784564,419.94657658222286,211.83396769623357,0.0
