success,error,Altitude_km,Mach,Thrust_N,Thrust_kN,Isp_s,Ia_Ns_per_kg,mdot_air_kg_s,mfuel_kg_s,phi,Ma_exit,T_exit_K,p_exit_Pa
True,,18.0,2.0,63044.69866037977,63.04469866037977,6093.870316484036,630.4469866037977,100.0,1.4556040756914967,0.5,2.4120441480466255,498.86070113891026,3033.2043122095847
True,,18.0,2.25,69988.36182191386,69.98836182191386,6765.041465317337,699.8836182191386,100.0,1.4556040756914967,0.5,2.5645220880064867,551.0039859182817,3385.7749743746153
True,,18.0,2.5,79468.04846412793,79.46804846412793,7681.343426720201,794.6804846412793,100.0,1.4556040756914967,0.5,2.6993311664980473,631.3400590233867,3838.6674405965555
True,,18.0,2.75,93499.05254519827,93.49905254519827,9037.573547522334,934.9905254519826,100.0,1.4556040756914967,0.5,2.7972199230284387,773.5612715757085,4518.479979018373
True,,18.0,3.0,120921.78973280794,120.92178973280794,11688.24216352347,1209.2178973280795,100.0,1.4556040756914967,0.5,2.7900984124766395,1150.6582458158364,6005.596845679367
True,,18.0,3.25,133849.18203959364,133.84918203959364,12937.797699861898,1338.4918203959364,100.0,1.4556040756914967,0.5,2.938593003333634,1279.3359484357054,6509.51417664179
True,,18.0,3.5,133261.10063924955,133.26110063924955,12880.954033933085,1332.6110063924955,100.0,1.4556040756914967,0.5,3.17280403326236,1178.2307571920935,6244.224831437934
True,,18.0,3.75,132095.93554373484,132.09593554373484,12768.32973497958,1320.9593554373484,100.0,1.4556040756914967,0.5,3.3930023194089944,1094.5516725453797,6041.966087744608
True,,18.0,4.0,130430.60211239663,130.43060211239663,12607.35940472312,1304.3060211239663,100.0,1.4556040756914967,0.5,3.6029000136020337,1023.0199503181692,5879.193250892113
True,,18.0,4.25,128395.22106734871,128.3952210673487,12410.620449716476,1283.9522106734871,100.0,1.4556040756914967,0.5,3.803471506041608,961.6599572387547,5748.20812825013
True,,18.0,4.5,125991.36922725741,125.99136922725741,12178.265284495203,1259.913692272574,100.0,1.4556040756914967,0.5,3.9927518660736734,909.3709572502759,5648.8200650251665
True,,18.0,4.75,123308.35323636422,123.30835323636421,11918.92624643218,1233.0835323636422,100.0,1.4556040756914967,0.5,4.174713669834363,863.3989527748101,5567.45274681995
True,,18.0,5.0,120401.11375387799,120.401113753878,11637.91387327975,1204.0111375387798,100.0,1.4556040756914967,0.5,4.346209263103482,824.2230565934924,5510.395572598289
True,,20.0,2.0,63101.18048588463,63.10118048588463,6099.329822630922,631.0118048588463,100.0,1.4556040756914967,0.5,2.4147294628981677,498.41612067566217,2209.345950051564
False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",20.0,2.25,,,,,100.0,,0.5,,,
