file,lines,imports,referenced_files
pycycle/elements/flow_start.py,90,"numpy, openmdao, pycycle",
pycycle/elements/gearbox.py,118,openmdao,
pycycle/elements/inlet.py,219,"openmdao, pycycle",
pycycle/elements/mixer.py,312,"numpy, openmdao, pycycle",
pycycle/elements/nozzle.py,465,"openmdao, pycycle",
pycycle/elements/performance.py,124,openmdao,
pycycle/elements/shaft.py,147,"numpy, openmdao",
pycycle/elements/splitter.py,219,"numpy, openmdao, pycycle",
pycycle/elements/test/__init__.py,0,,
pycycle/elements/test/test_ambient.py,63,"numpy, openmdao, os, pycycle, unittest",/reg_data/ambient.csv
pycycle/elements/test/test_bleed_out.py,67,"numpy, openmdao, os, pycycle, unittest",
pycycle/elements/test/test_cfd_start.py,42,"numpy, openmdao, pycycle, unittest",
pycycle/elements/test/test_combustor.py,131,"numpy, openmdao, os, pycycle, unittest",/reg_data/combustorJP7.csv
pycycle/elements/test/test_compressor.py,140,"numpy, openmdao, os, pycycle, unittest",/reg_data/compressor.csv
pycycle/elements/test/test_compressor_map.py,173,"numpy, openmdao, os, pycycle, unittest",/reg_data/compressorOD1.csv
pycycle/elements/test/test_compressor_od.py,216,"numpy, openmdao, os, pycycle, unittest",/reg_data/compressorOD1.csv
pycycle/elements/test/test_cooling.py,270,"numpy, openmdao, pycycle, unittest",
pycycle/elements/test/test_duct.py,195,"numpy, openmdao, os, pycycle, unittest",/reg_data/duct.csv
pycycle/elements/test/test_flightconditions.py,78,"numpy, openmdao, os, pycycle, unittest",/reg_data/ambient.csv
pycycle/elements/test/test_flow_start.py,228,"numpy, openmdao, os, pycycle, unittest",/reg_data/flowstart.csv
pycycle/elements/test/test_inlet.py,151,"numpy, openmdao, os, pycycle, unittest",/reg_data/inlet.csv
pycycle/elements/test/test_mixer.py,130,"numpy, openmdao, os, pycycle, unittest",
pycycle/elements/test/test_nozzle.py,91,"numpy, openmdao, os, pycycle, unittest",/reg_data/nozzle.csv
pycycle/elements/test/test_nozzle_CV_CD.py,190,"numpy, openmdao, os, pycycle, unittest",/reg_data/nozzleCV.csv; /reg_data/nozzleCD.csv; /reg_data/nozzleCD_CV.csv; /reg_data/nozzleCV__Cfg.csv; /reg_data/nozzleCD__Cfg.csv; /reg_data/nozzleCD_CV__Cfg.csv
pycycle/elements/test/test_shaft.py,88,"numpy, openmdao, os, pycycle, unittest",/reg_data/shaft.csv
pycycle/elements/test/test_splitter.py,134,"numpy, openmdao, os, pycycle, unittest",/reg_data/splitter.csv
pycycle/elements/test/test_turbine.py,176,"numpy, openmdao, os, pycycle, unittest",/reg_data/turbine.csv
pycycle/elements/test/test_turbine_map.py,238,"numpy, openmdao, os, pycycle, unittest",/reg_data/turbineOD1.csv
pycycle/elements/test/test_turbine_od.py,217,"numpy, openmdao, os, pycycle, unittest",/reg_data/turbineOD1.csv
pycycle/elements/test/test_usatm1976.py,27,"numpy, openmdao, os, pycycle, unittest",
pycycle/elements/turbine.py,637,"collections, copy, numpy, openmdao, pycycle",
pycycle/elements/turbine_map.py,194,"openmdao, pycycle",
pycycle/elements/US1976.py,105,"collections, numpy, openmdao, scipy",
pycycle/flow_in.py,58,"numpy, openmdao",
pycycle/maps/__init__.py,0,,
pycycle/maps/axi3_2.py,146,"numpy, pycycle",
pycycle/maps/axi5.py,173,"numpy, pycycle",
pycycle/maps/Fan_map.py,133,"numpy, pycycle",
pycycle/maps/HPC_map.py,132,"numpy, pycycle",
pycycle/maps/hpt1269.py,67,"numpy, pycycle",
pycycle/maps/HPT_map.py,68,"numpy, pycycle",
pycycle/maps/LPC_map.py,130,"numpy, pycycle",
pycycle/maps/lpt2269.py,73,"numpy, pycycle",
pycycle/maps/LPT_map.py,73,"numpy, pycycle",
pycycle/maps/map_data.py,4,,
pycycle/maps/ncp01.py,116,"numpy, pycycle",
pycycle/maps/test/__init__.py,0,,
pycycle/mp_cycle.py,279,"collections, networkx, openmdao, pycycle, warnings",
pycycle/passthrough.py,61,"numpy, openmdao",
pycycle/tests/__init__.py,0,,
pycycle/tests/test_element.py,1,unittest,
pycycle/thermo/__init__.py,0,,
pycycle/thermo/cea/__init__.py,0,,
pycycle/thermo/cea/chem_eq.py,356,"numpy, openmdao, pycycle",
pycycle/thermo/cea/props_calcs.py,259,"numpy, openmdao, pycycle",
pycycle/thermo/cea/props_rhs.py,181,"numpy, openmdao, pycycle",
pycycle/thermo/cea/species_data.py,186,"collections, numpy, pycycle, scipy",
pycycle/thermo/cea/test/__init__.py,0,,
pycycle/thermo/cea/test/test_chem_eq_co2.py,34,"openmdao, pycycle, unittest",
pycycle/thermo/cea/test/test_chem_eq_janaf.py,41,"numpy, openmdao, pycycle, unittest",
pycycle/thermo/cea/test/test_props_rhs_co2.py,109,"numpy, openmdao, pycycle, unittest",
pycycle/thermo/cea/test/test_species_data.py,149,"numpy, openmdao, pycycle, scipy, unittest",
pycycle/thermo/cea/test/test_thermo_add_cea.py,189,"numpy, openmdao, pycycle, unittest",
